place_id,name,country,city,category,latitude,longitude
394,Cheval de Przewalski,France,Paris,Attraction,48.845599,2.361003
395,Tapir malais,France,Paris,Attraction,48.846027,2.36141
396,Chèvres des montagnes rocheuses,France,Paris,Attraction,48.845395,2.360084
397,Flamant des Caraïbes,France,Paris,Attraction,48.845132,2.358579
398,Vigognes,France,Paris,Attraction,48.844865,2.361533
399,Casoars à casque,France,Paris,Attraction,48.84612,2.360275
400,Oryx d'Arabie,France,Paris,Attraction,48.844979,2.362054
401,Gaur,France,Paris,Attraction,48.844431,2.35884
402,Pademelons,France,Paris,Attraction,48.845025,2.358958
403,Sanglier de Visayas,France,Paris,Attraction,48.844897,2.359236
404,Chèvres du Sénégal,France,Paris,Attraction,48.844548,2.359417
405,Wallaby de Bennett,France,Paris,Attraction,48.844406,2.357862
406,Sophora d'Incarville,France,Paris,Attraction,48.841873,2.357205
407,Gaur,France,Paris,Attraction,48.844694,2.358176
408,Goral,France,Paris,Attraction,48.8451,2.360342
409,Gaur,France,Paris,Attraction,48.844367,2.359386
410,Potamochère roux,France,Paris,Attraction,48.844641,2.360558
411,Ara,France,Paris,Attraction,48.845713,2.359975
412,,France,Paris,Attraction,48.843364,2.361635
413,Musée de la Poste,France,Paris,Attraction,48.841456,2.317219
414,Galerie-musée Baccarat,France,Paris,Attraction,48.867739,2.293639
415,Georges Lachambre,France,Paris,Attraction,48.830497,2.366109
416,Trompe-œil Bach,France,Paris,Attraction,48.830737,2.366252
417,Abbaye de Port-Royal,France,Paris,Attraction,48.83856,2.338331
418,Gérard de Nerval,France,Paris,Attraction,48.857801,2.348613
419,,France,Paris,Attraction,48.844108,2.358385
420,Himalaya,France,Paris,Attraction,48.844063,2.359158
421,Serre de Nouvelle-Calédonie,France,Paris,Attraction,48.843134,2.357256
422,Fau de Verzy,France,Paris,Attraction,48.844013,2.35844
423,,France,Paris,Attraction,48.844023,2.358612
424,Cévennes,France,Paris,Attraction,48.843933,2.358658
425,Maroc,France,Paris,Attraction,48.844174,2.358808
426,,France,Paris,Attraction,48.844031,2.359098
427,Corse,France,Paris,Attraction,48.844159,2.359014
428,,France,Paris,Attraction,48.844163,2.359168
429,Forêts tropicales humides,France,Paris,Attraction,48.843305,2.35802
430,Rapaces diurnes,France,Paris,Attraction,48.845862,2.359983
431,Pistachier de Vaillant,France,Paris,Attraction,48.844157,2.359331
432,Espagne,France,Paris,Attraction,48.844176,2.358518
433,Balkans,France,Paris,Attraction,48.844057,2.358283
434,Provence,France,Paris,Attraction,48.844137,2.358646
435,Préalpes,France,Paris,Attraction,48.843917,2.35852
436,USA,France,Paris,Attraction,48.844001,2.358966
437,Zone arides des déserts,France,Paris,Attraction,48.843184,2.357541
438,Alpes,France,Paris,Attraction,48.843939,2.358275
439,,France,Paris,Attraction,48.844045,2.358834
440,Histoire des Plantes,France,Paris,Attraction,48.84298,2.356802
441,Caucase,France,Paris,Attraction,48.844167,2.359246
442,La Galerie des Enfants,France,Paris,Attraction,48.842517,2.356167
443,Métaséquoia,France,Paris,Attraction,48.843846,2.358409
444,Japon - Chine,France,Paris,Attraction,48.844097,2.359489
445,,France,Paris,Attraction,48.844042,2.35931
446,,France,Paris,Attraction,48.844101,2.359292
447,Tourbière,France,Paris,Attraction,48.843801,2.358226
448,,France,Paris,Attraction,48.862073,2.328441
449,,France,Paris,Attraction,48.863229,2.329884
450,,France,Paris,Attraction,48.862167,2.330036
451,,France,Paris,Attraction,48.861964,2.32901
452,,France,Paris,Attraction,48.871867,2.318433
453,,France,Paris,Attraction,48.862287,2.328574
454,,France,Paris,Attraction,48.863407,2.330392
455,,France,Paris,Attraction,48.862305,2.32955
456,,France,Paris,Attraction,48.862114,2.329082
457,,France,Paris,Attraction,48.871817,2.318471
458,,France,Paris,Attraction,48.862123,2.328383
459,,France,Paris,Attraction,48.863474,2.330116
460,,France,Paris,Attraction,48.862371,2.329908
461,,France,Paris,Attraction,48.862925,2.330626
462,,France,Paris,Attraction,48.871858,2.318531
463,,France,Paris,Attraction,48.862506,2.328755
464,,France,Paris,Attraction,48.863591,2.330338
465,,France,Paris,Attraction,48.86271,2.330363
466,,France,Paris,Attraction,48.861786,2.330143
467,,France,Paris,Attraction,48.862932,2.330535
468,,France,Paris,Attraction,48.871905,2.31857
469,,France,Paris,Attraction,48.862723,2.330209
470,,France,Paris,Attraction,48.8617,2.329252
471,,France,Paris,Attraction,48.862909,2.330017
472,,France,Paris,Attraction,48.871918,2.318495
473,,France,Paris,Attraction,48.861813,2.329723
474,,France,Paris,Attraction,48.86306,2.32996
475,,France,Paris,Attraction,48.871921,2.318414
476,,France,Paris,Attraction,48.862117,2.329296
477,,France,Paris,Attraction,48.863766,2.329691
478,,France,Paris,Attraction,48.861719,2.329131
479,,France,Paris,Attraction,48.86359,2.329546
480,,France,Paris,Attraction,48.86326,2.330745
481,Pin laricio,France,Paris,Attraction,48.843559,2.359354
482,,France,Paris,Attraction,48.843254,2.361327
483,Rapaces nocturnes,France,Paris,Attraction,48.844592,2.361209
484,Arbre de Judée,France,Paris,Attraction,48.842178,2.359106
485,Platane de Buffon,France,Paris,Attraction,48.844083,2.357574
486,,France,Paris,Attraction,48.843319,2.356452
487,Cerisier du Japon,France,Paris,Attraction,48.84331,2.360199
488,Panda roux,France,Paris,Attraction,48.84418,2.359814
489,Robinier de Robin,France,Paris,Attraction,48.842344,2.359159
490,,France,Paris,Attraction,48.843905,2.36248
491,Théodore Monod,France,Paris,Attraction,48.843309,2.356245
492,,France,Paris,Attraction,48.842996,2.361695
493,Daubenton,France,Paris,Attraction,48.843174,2.356262
494,,France,Paris,Attraction,48.843021,2.360368
495,Cerisier du Japon 'Shirotae',France,Paris,Attraction,48.843632,2.361468
496,Binturong,France,Paris,Attraction,48.844298,2.360174
497,Noyer noir d’Amérique,France,Paris,Attraction,48.84284,2.360695
498,,France,Paris,Attraction,48.843612,2.362646
499,Souche d'arbre,France,Paris,Attraction,48.842249,2.358363
500,Musée du Service de Santé des Armées,France,Paris,Attraction,48.840365,2.341428
501,,France,Paris,Attraction,48.865966,2.355603
